STATION STATION_NAME ELEVATION LATITUDE LONGITUDE DATE PRCP TMAX TMIN
----------------- -------------------------------------------------- ---------- ---------- ---------- -------- -------- -------- --------
GHCND:USC00010184 BEVILL LOCK AND DAM AL 33.21041  0.00
GHCND:USC00010184 BEVILL LOCK AND DAM AL 33.21041  0.00
GHCND:USC00010184 BEVILL LOCK AND DAM AL 33.21041  0.00
GHCND:USC00010184 BEVILL LOCK AND DAM AL 33.21041  0.00
GHCND:USC00010184 BEVILL LOCK AND DAM AL 33.21041  0.05
GHCND:USC00010184 BEVILL LOCK AND DAM AL 33.21041  0.00
GHCND:USC00010184 BEVILL LOCK AND DAM AL 33.21041  0.00
GHCND:USC00010184 BEVILL LOCK AND DAM AL 33.21041  0.00
GHCND:USC00010184 BEVILL LOCK AND DAM AL 33.21041  0.00
GHCND:USC00010184 BEVILL LOCK AND DAM AL 33.21041  0.00
GHCND:USC00010184 BEVILL LOCK AND DAM AL 33.21041  0.00
GHCND:USC00010184 BEVILL LOCK AND DAM AL 33.21041  0.00
GHCND:USC00010184 BEVILL LOCK AND DAM AL 33.21041  0.72
GHCND:USC00010184 BEVILL LOCK AND DAM AL 33.21041  0.30
GHCND:USC00010184 BEVILL LOCK AND DAM AL 33.21041  0.00
GHCND:USC00010184 BEVILL LOCK AND DAM AL 33.21041  0.00
GHCND:USC00010184 BEVILL LOCK AND DAM AL 33.21041  0.00
GHCND:USC00010184 BEVILL LOCK AND DAM AL 33.21041  0.00
GHCND:USC00010184 BEVILL LOCK AND DAM AL 33.21041  0.00
GHCND:USC00013573 GUNTERSVILLE AL US 176.2 34.3344   
GHCND:USC00013573 GUNTERSVILLE AL US 176.2 34.3344   
GHCND:USC00013573 GUNTERSVILLE AL US 176.2 34.3344   
GHCND:USC00013573 GUNTERSVILLE AL US 176.2 34.3344   
GHCND:USC00013573 GUNTERSVILLE AL US 176.2 34.3344   
GHCND:USC00013573 GUNTERSVILLE AL US 176.2 34.3344   
GHCND:USC00013573 GUNTERSVILLE AL US 176.2 34.3344   
GHCND:USC00013573 GUNTERSVILLE AL US 176.2 34.3344   
GHCND:USC00013573 GUNTERSVILLE AL US 176.2 34.3344   
GHCND:USC00013573 GUNTERSVILLE AL US 176.2 34.3344   
GHCND:USC00013573 GUNTERSVILLE AL US 176.2 34.3344   
GHCND:USC00013573 GUNTERSVILLE AL US 176.2 34.3344   
GHCND:USC00013573 GUNTERSVILLE AL US 176.2 34.3344   
GHCND:USC00013573 GUNTERSVILLE AL US 176.2 34.3344   
GHCND:USC00013573 GUNTERSVILLE AL US 176.2 34.3344   
GHCND:USC00013573 GUNTERSVILLE AL US 176.2 34.3344   
GHCND:USC00013573 GUNTERSVILLE AL US 176.2 34.3344   
GHCND:USC00013573 GUNTERSVILLE AL US 176.2 34.3344   
GHCND:USC00013573 GUNTERSVILLE AL US 176.2 34.3344   
GHCND:USC00013573 GUNTERSVILLE AL US 176.2 34.3344   
GHCND:USC00013573 GUNTERSVILLE AL US 176.2 34.3344   
GHCND:USC00013573 GUNTERSVILLE AL US 176.2 34.3344   
GHCND:USC00013573 GUNTERSVILLE AL US 176.2 34.3344   
GHCND:USC00013573 GUNTERSVILLE AL US 176.2 34.3344   
GHCND:USC00013573 GUNTERSVILLE AL US 176.2 34.3344   
GHCND:USC00013573 GUNTERSVILLE AL US 176.2 34.3344   
GHCND:USC00013573 GUNTERSVILLE AL US 176.2 34.3344   
GHCND:USC00013573 GUNTERSVILLE AL US 176.2 34.3344   
GHCND:USC00013573 GUNTERSVILLE AL US 176.2 34.3344   
GHCND:USC00013573 GUNTERSVILLE AL US 176.2 34.3344   
GHCND:USC00013573 GUNTERSVILLE AL US 176.2 34.3344   
GHCND:US1ALLS0038 ATHENS 2.8 NE AL US -86.931892 0.28 
GHCND:US1ALLS0038 ATHENS 2.8 NE AL US -86.931892 0.41 
GHCND:US1ALLS0038 ATHENS 2.8 NE AL US -86.931892 0.99 
GHCND:US1ALLS0038 ATHENS 2.8 NE AL US -86.931892 0.00 
GHCND:US1ALLS0038 ATHENS 2.8 NE AL US -86.931892 0.00 
GHCND:US1ALLS0038 ATHENS 2.8 NE AL US -86.931892 0.00 
GHCND:US1ALLS0038 ATHENS 2.8 NE AL US -86.931892 0.00 
GHCND:US1ALLS0038 ATHENS 2.8 NE AL US -86.931892 0.00 
GHCND:US1ALLS0038 ATHENS 2.8 NE AL US -86.931892 0.16 
GHCND:US1ALLS0038 ATHENS 2.8 NE AL US -86.931892 0.91 
GHCND:US1ALLS0038 ATHENS 2.8 NE AL US -86.931892 0.00 
GHCND:US1ALLS0038 ATHENS 2.8 NE AL US -86.931892 0.00 
GHCND:US1ALLS0038 ATHENS 2.8 NE AL US -86.931892 0.00 
GHCND:US1ALLS0038 ATHENS 2.8 NE AL US -86.931892 0.00 
GHCND:US1ALLS0038 ATHENS 2.8 NE AL US -86.931892 0.00 
GHCND:US1ALLS0038 ATHENS 2.8 NE AL US -86.931892 0.00 
GHCND:US1ALLS0038 ATHENS 2.8 NE AL US -86.931892 0.35 
GHCND:US1ALLS0038 ATHENS 2.8 NE AL US -86.931892 0.00 
GHCND:US1ALLS0038 ATHENS 2.8 NE AL US -86.931892 0.00 
GHCND:US1ALLS0038 ATHENS 2.8 NE AL US -86.931892 0.00 
GHCND:US1ALLS0038 ATHENS 2.8 NE AL US -86.931892 0.00 
GHCND:US1ALLS0038 ATHENS 2.8 NE AL US -86.931892 0.00 
GHCND:US1ALLS0038 ATHENS 2.8 NE AL US -86.931892 0.00 
GHCND:US1ALLS0038 ATHENS 2.8 NE AL US -86.931892 0.00 
GHCND:US1ALLS0038 ATHENS 2.8 NE AL US -86.931892  
GHCND:US1ALLS0038 ATHENS 2.8 NE AL US -86.931892 0.00 
GHCND:US1ALLS0038 ATHENS 2.8 NE AL US -86.931892 0.00 
GHCND:US1ALLS0038 ATHENS 2.8 NE AL US -86.931892 0.00 
GHCND:US1ALLS0038 ATHENS 2.8 NE AL US -86.931892 0.00 
GHCND:US1ALLS0038 ATHENS 2.8 NE AL US -86.931892 0.00 
GHCND:USC00015751 MUSCLE SHOALS WATER PLANT AL 34.7586  0.22
GHCND:USC00015751 MUSCLE SHOALS WATER PLANT AL 34.7586  0.61
GHCND:USC00015751 MUSCLE SHOALS WATER PLANT AL 34.7586  0.64
GHCND:USC00015751 MUSCLE SHOALS WATER PLANT AL 34.7586  0.00
GHCND:USC00015751 MUSCLE SHOALS WATER PLANT AL 34.7586  0.00
GHCND:USC00015751 MUSCLE SHOALS WATER PLANT AL 34.7586  0.00
GHCND:USC00015751 MUSCLE SHOALS WATER PLANT AL 34.7586  0.00
GHCND:USC00015751 MUSCLE SHOALS WATER PLANT AL 34.7586  0.00
GHCND:USC00015751 MUSCLE SHOALS WATER PLANT AL 34.7586  0.10
GHCND:USC00015751 MUSCLE SHOALS WATER PLANT AL 34.7586  0.75
GHCND:USC00015751 MUSCLE SHOALS WATER PLANT AL 34.7586  0.00
GHCND:USC00015751 MUSCLE SHOALS WATER PLANT AL 34.7586  0.00
GHCND:USC00015751 MUSCLE SHOALS WATER PLANT AL 34.7586  0.00
GHCND:USC00015751 MUSCLE SHOALS WATER PLANT AL 34.7586  0.00
GHCND:USC00015751 MUSCLE SHOALS WATER PLANT AL 34.7586  0.00
GHCND:USC00015751 MUSCLE SHOALS WATER PLANT AL 34.7586  0.00
GHCND:USC00015751 MUSCLE SHOALS WATER PLANT AL 34.7586  0.20
GHCND:USC00015751 MUSCLE SHOALS WATER PLANT AL 34.7586  0.00
GHCND:USC00015751 MUSCLE SHOALS WATER PLANT AL 34.7586  0.00
GHCND:USC00015751 MUSCLE SHOALS WATER PLANT AL 34.7586  0.00
GHCND:USC00015751 MUSCLE SHOALS WATER PLANT AL 34.7586  0.00
GHCND:USC00015751 MUSCLE SHOALS WATER PLANT AL 34.7586  0.00
GHCND:USC00015751 MUSCLE SHOALS WATER PLANT AL 34.7586  0.00
GHCND:USC00015751 MUSCLE SHOALS WATER PLANT AL 34.7586  0.65
GHCND:USC00015751 MUSCLE SHOALS WATER PLANT AL 34.7586  0.35
GHCND:USC00015751 MUSCLE SHOALS WATER PLANT AL 34.7586  0.00
GHCND:USC00015751 MUSCLE SHOALS WATER PLANT AL 34.7586  0.04
GHCND:USC00015751 MUSCLE SHOALS WATER PLANT AL 34.7586  0.02
GHCND:USC00015751 MUSCLE SHOALS WATER PLANT AL 34.7586  0.06
GHCND:USC00015751 MUSCLE SHOALS WATER PLANT AL 34.7586  0.00
GHCND:US1ALBW0109 FOLEY 1.0 W AL US -87.701518 0.00 
GHCND:US1ALBW0109 FOLEY 1.0 W AL US -87.701518 0.88 
GHCND:US1ALBW0109 FOLEY 1.0 W AL US -87.701518 3.05 
GHCND:US1ALBW0109 FOLEY 1.0 W AL US -87.701518 0.00 
GHCND:US1ALBW0109 FOLEY 1.0 W AL US -87.701518 0.00 
GHCND:US1ALBW0109 FOLEY 1.0 W AL US -87.701518 0.00 
GHCND:US1ALBW0109 FOLEY 1.0 W AL US -87.701518 0.00 
GHCND:US1ALBW0109 FOLEY 1.0 W AL US -87.701518 0.00 
GHCND:US1ALBW0109 FOLEY 1.0 W AL US -87.701518 0.00 
GHCND:US1ALBW0109 FOLEY 1.0 W AL US -87.701518 1.05 
GHCND:US1ALBW0109 FOLEY 1.0 W AL US -87.701518 0.00 
GHCND:US1ALBW0109 FOLEY 1.0 W AL US -87.701518 0.00 
GHCND:US1ALBW0109 FOLEY 1.0 W AL US -87.701518 0.00 
GHCND:US1ALBW0109 FOLEY 1.0 W AL US -87.701518 0.00 
GHCND:US1ALBW0109 FOLEY 1.0 W AL US -87.701518 0.00 
GHCND:US1ALBW0109 FOLEY 1.0 W AL US -87.701518 0.00 
GHCND:US1ALBW0109 FOLEY 1.0 W AL US -87.701518 0.01 
GHCND:US1ALBW0109 FOLEY 1.0 W AL US -87.701518 0.00 
GHCND:US1ALBW0109 FOLEY 1.0 W AL US -87.701518 0.00 
GHCND:US1ALBW0109 FOLEY 1.0 W AL US -87.701518 0.00 
GHCND:US1ALBW0109 FOLEY 1.0 W AL US -87.701518 0.00 
GHCND:US1ALBW0109 FOLEY 1.0 W AL US -87.701518 0.00 
GHCND:US1ALBW0109 FOLEY 1.0 W AL US -87.701518 0.00 
GHCND:US1ALBW0109 FOLEY 1.0 W AL US -87.701518 0.00 
GHCND:US1ALBW0109 FOLEY 1.0 W AL US -87.701518 0.85 
GHCND:US1ALBW0109 FOLEY 1.0 W AL US -87.701518 0.00 
GHCND:US1ALBW0109 FOLEY 1.0 W AL US -87.701518 0.00 
GHCND:US1ALBW0109 FOLEY 1.0 W AL US -87.701518 0.00 
GHCND:US1ALBW0109 FOLEY 1.0 W AL US -87.701518 0.00 
GHCND:US1ALBW0109 FOLEY 1.0 W AL US -87.701518 0.00 
GHCND:US1ALBW0109 FOLEY 1.0 W AL US -87.701518 0.00 
GHCND:US1ALCY0002 GOODWATER 8.4 N AL US -86.046203 0.00 
GHCND:US1ALCY0002 GOODWATER 8.4 N AL US -86.046203 0.18 
GHCND:US1ALCY0002 GOODWATER 8.4 N AL US -86.046203 0.12 
GHCND:US1ALCY0002 GOODWATER 8.4 N AL US -86.046203 0.00 
GHCND:US1ALCY0002 GOODWATER 8.4 N AL US -86.046203 0.00 
GHCND:US1ALCY0002 GOODWATER 8.4 N AL US -86.046203 0.00 
GHCND:US1ALCY0002 GOODWATER 8.4 N AL US -86.046203 0.00 
GHCND:US1ALCY0002 GOODWATER 8.4 N AL US -86.046203 0.00 
GHCND:US1ALCY0002 GOODWATER 8.4 N AL US -86.046203 0.03 
GHCND:US1ALCY0002 GOODWATER 8.4 N AL US -86.046203 0.40 
GHCND:US1ALCY0002 GOODWATER 8.4 N AL US -86.046203 0.07 
GHCND:US1ALCY0002 GOODWATER 8.4 N AL US -86.046203 0.00 
GHCND:US1ALCY0002 GOODWATER 8.4 N AL US -86.046203 0.00 
GHCND:US1ALCY0002 GOODWATER 8.4 N AL US -86.046203 0.00 
GHCND:US1ALCY0002 GOODWATER 8.4 N AL US -86.046203 0.00 
GHCND:US1ALCY0002 GOODWATER 8.4 N AL US -86.046203 0.00 
GHCND:US1ALCY0002 GOODWATER 8.4 N AL US -86.046203 0.31 
GHCND:US1ALCY0002 GOODWATER 8.4 N AL US -86.046203 0.01 
GHCND:US1ALCY0002 GOODWATER 8.4 N AL US -86.046203 0.00 
GHCND:US1ALCY0002 GOODWATER 8.4 N AL US -86.046203 0.00 
GHCND:US1ALCY0002 GOODWATER 8.4 N AL US -86.046203 0.00 
GHCND:US1ALCY0002 GOODWATER 8.4 N AL US -86.046203 0.00 
GHCND:US1ALCY0002 GOODWATER 8.4 N AL US -86.046203 0.00 
