STATION STATION_NAME ELEVATION LATITUDE LONGITUDE DATE MDPR DAPR SNOW
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL US 85.3 20231201
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL US 85.3 20231202
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL US 85.3 20231203
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL US 85.3 20231204
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL US 85.3 20231205
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL US 85.3 20231206
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL US 85.3 20231207
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL US 85.3 20231208
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL US 85.3 20231209
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL US 85.3 20231210
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL US 85.3 20231211
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL US 85.3 20231212
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL US 85.3 20231213
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL US 85.3 20231214
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL US 85.3 20231215
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL US 85.3 20231216
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL US 85.3 20231217
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL US 85.3 20231218
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL US 85.3 20231219
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL US 85.3 20231220
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL US 85.3 20231221
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL US 85.3 20231222
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL US 85.3 20231223
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL US 85.3 20231224
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL US 85.3 20231225
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL US 85.3 20231226
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL US 85.3 20231227
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL US 85.3 20231228
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL US 85.3 20231229
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL US 85.3 20231230
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL US 85.3 20231231
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL US 30.5 20231201
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL US 30.5 20231202
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL US 30.5 20231203
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL US 30.5 20231204
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL US 30.5 20231205
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL US 30.5 20231206
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL US 30.5 20231207
